timestamp,pod,cpu_millicores,memory_mib
1781126116,spring-backend-5dd6794c78-pvrnh,33,339
1781126118,angular-frontend-6d48cd76f7-t6bl9,2,8
1781126118,db-5979fd8856-fxgjt,1,59
1781126118,kafka-5ffd476ddd-pw6m9,24,434
1781126118,nginx-proxy-668678f9f-hgnjt,0,2
1781126118,shiny-back-5cf78446cf-lmxmj,7,64
1781126118,shiny-back-analytics-64446fcfc6-pgq9s,8,104
1781126118,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126118,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126118,shiny-back-csv-advanced-67699855b-mwc77,7,100
1781126118,shiny-back-map-699ffc8d4b-67whk,7,64
1781126118,shiny-back-mc-dfbdb96b-vzgqv,7,64
1781126118,shiny-back-ml-7bc58d4cb9-zd9k5,7,64
1781126118,shiny-front-654dfd9d68-hcq27,1,100
1781126118,shiny-front-analytics-5c777d8b7c-xwk8s,1,125
1781126118,shiny-front-analytics-advanced-85bddd6bc-65qxb,1,129
1781126118,shiny-front-csv-57f55fb689-675d4,1,97
1781126118,shiny-front-csv-advanced-5d6f49b579-nf5tl,1,101
1781126118,shiny-front-map-5cc665d4c9-2kp7f,1,99
1781126118,shiny-front-mc-7647b7cf8f-zl62t,1,127
1781126118,shiny-front-ml-5fc74b44fb-r6nnn,9,129
1781126118,spring-backend-5dd6794c78-pvrnh,33,339
1781126122,angular-frontend-6d48cd76f7-t6bl9,2,8
1781126122,db-5979fd8856-fxgjt,2,60
1781126122,kafka-5ffd476ddd-pw6m9,33,441
1781126122,nginx-proxy-668678f9f-hgnjt,0,2
1781126122,shiny-back-5cf78446cf-lmxmj,7,65
1781126122,shiny-back-analytics-64446fcfc6-pgq9s,12,104
1781126122,shiny-back-analytics-advanced-5f898f466b-79kh4,7,64
1781126122,shiny-back-csv-6c55c674fb-prsmt,7,64
1781126122,shiny-back-csv-advanced-67699855b-mwc77,7,101
