timestamp,pod,cpu_millicores,memory_mib
1781120963,shiny-back-analytics-64446fcfc6-qggjt,6,100
1781120963,shiny-back-analytics-advanced-5f898f466b-2fm2w,6,63
1781120963,shiny-back-csv-6c55c674fb-j97vn,6,63
1781120963,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120963,shiny-back-map-699ffc8d4b-zmts7,6,64
1781120963,shiny-back-mc-dfbdb96b-vnq2d,6,89
1781120963,shiny-back-ml-7bc58d4cb9-nfdzv,6,250
1781120963,shiny-front-74f895754c-2n87p,31,183
1781120963,shiny-front-analytics-659b495dfb-xpscp,106,407
1781120963,shiny-front-analytics-advanced-6d576964d8-tc8mt,23,284
1781120963,shiny-front-csv-5fc46bdd6d-jzn78,35,179
1781120963,shiny-front-csv-advanced-7fb5c8d868-hvn2l,34,178
1781120963,shiny-front-map-9f7867f8b-qj7mb,40,178
1781120963,shiny-front-mc-5b5cbcb55d-95q9w,34,230
1781120963,shiny-front-ml-64cff4d56f-p65qz,34,230
1781120963,spring-backend-5dd6794c78-sqlt2,5,320
1781120969,angular-frontend-6d48cd76f7-wd7c7,1,8
1781120969,db-5979fd8856-l845c,1,44
1781120969,kafka-5ffd476ddd-j6bnm,56,968
1781120969,nginx-proxy-668678f9f-qr5tm,2,2
1781120969,shiny-back-5cf78446cf-kthzx,7,63
1781120969,shiny-back-analytics-64446fcfc6-qggjt,6,100
1781120969,shiny-back-analytics-advanced-5f898f466b-2fm2w,6,63
1781120969,shiny-back-csv-6c55c674fb-j97vn,6,63
1781120969,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120969,shiny-back-map-699ffc8d4b-zmts7,6,64
1781120969,shiny-back-mc-dfbdb96b-vnq2d,6,89
1781120969,shiny-back-ml-7bc58d4cb9-nfdzv,6,250
1781120969,shiny-front-74f895754c-2n87p,31,183
1781120969,shiny-front-analytics-659b495dfb-xpscp,106,407
1781120969,shiny-front-analytics-advanced-6d576964d8-tc8mt,23,284
1781120969,shiny-front-csv-5fc46bdd6d-jzn78,35,179
1781120969,shiny-front-csv-advanced-7fb5c8d868-hvn2l,34,178
1781120969,shiny-front-map-9f7867f8b-qj7mb,40,178
1781120969,shiny-front-mc-5b5cbcb55d-95q9w,34,230
1781120969,shiny-front-ml-64cff4d56f-p65qz,34,230
1781120969,spring-backend-5dd6794c78-sqlt2,5,320
1781120974,angular-frontend-6d48cd76f7-wd7c7,0,8
1781120974,db-5979fd8856-l845c,2,44
1781120974,kafka-5ffd476ddd-j6bnm,55,968
1781120974,nginx-proxy-668678f9f-qr5tm,1,2
1781120974,shiny-back-5cf78446cf-kthzx,7,63
1781120974,shiny-back-analytics-64446fcfc6-qggjt,10,102
1781120974,shiny-back-analytics-advanced-5f898f466b-2fm2w,7,63
1781120974,shiny-back-csv-6c55c674fb-j97vn,7,63
1781120974,shiny-back-csv-advanced-67699855b-z5fpk,7,102
1781120974,shiny-back-map-699ffc8d4b-zmts7,6,63
1781120974,shiny-back-mc-dfbdb96b-vnq2d,7,90
1781120974,shiny-back-ml-7bc58d4cb9-nfdzv,7,251
1781120974,shiny-front-74f895754c-2n87p,31,183
1781120974,shiny-front-analytics-659b495dfb-xpscp,109,408
1781120974,shiny-front-analytics-advanced-6d576964d8-tc8mt,23,284
1781120974,shiny-front-csv-5fc46bdd6d-jzn78,34,178
